"","Species","Pump_type","rpm","Control","Fin_cut","Length","Weight","Class_1","Class_2.1","Class_2.2","Class_2.3","Class_3.1","Class_3.2","Class_3.3","Class_3.4","Class_3.5","Class_3.6","Class_3.7","Class_4","number_of_released_fish","number_of_released_fish_per_scenario","Number_Injuries","Injury_type_no","Injury_type_slight","Injury_type_severe","Injury_type_dead","number_recaptured","number_state_binom","percentage_state_test","min_state","max_state"
"1","bream","F/N","468","control","borstvin rechts 2018-12-18",405.52,1250,48,0,0,2,0,0,0,0,0,0,0,0,50,50,1,48,2,0,0,50,50,100,0,100
"2","bream","F/N","468","pump","geen 2018-12-18",397.516347014516,1146.22984562607,1,1,0,32,13,28,0,0,9,13,0,6,100,155,1.36792452830189,1,15,48,6,64,64,100,17,83
"3","bream","F/N","468","pump","staart boven 2018-12-18",345.699444971742,697.446507352941,1,0,0,19,1,11,0,0,1,4,0,0,55,155,1.125,1,18,14,0,33,33,100,48,52
"4","bream","F/N","550","control","borstvin links 2018-12-19",407.431818181818,1257.11363636364,43,0,0,1,0,0,0,0,0,0,0,0,45,45,1,43,1,0,0,44,44,100,0,100
"5","bream","F/N","550","pump","staart onder 2018-12-19",358.647916348713,789.894047619048,2,0,0,13,10,28,0,0,7,9,0,0,52,52,1.20238095238095,2,11,39,0,52,52,100,19,81
"6","eel","F/N","468","control","borstvin links (bol) 2018-10-24",639.266666666667,453.622222222222,42,0,0,3,0,0,0,0,0,0,0,0,50,50,1,42,3,0,0,45,45,100,0,100
"7","eel","F/N","468","pump","buikvin 2 knip 2018-10-24",638.220779220779,434.454545454545,74,0,0,3,0,0,0,0,0,0,0,0,100,300,1,74,3,0,0,77,77,100,0,100
"8","eel","F/N","468","pump","geen 2018-10-24",627.80487804878,428.573170731707,76,0,0,6,0,0,0,0,0,0,0,0,100,300,1,76,6,0,0,82,82,100,0,100
"9","eel","F/N","468","pump","rugvin 2 knip 2018-10-24",632.255813953488,440.720930232558,80,0,0,6,0,0,0,0,0,0,0,0,100,300,1,80,6,0,0,86,86,100,0,100
"10","eel","F/N","550","control","buikvin 1 knip 2018-10-23",637.617021276596,435.531914893617,45,0,1,1,0,0,0,0,0,0,0,0,50,50,1,45,2,0,0,47,47,100,0,100
"11","eel","F/N","550","pump","geen 2018-10-23",629.775510204082,430.897959183673,82,0,0,16,0,0,0,0,0,0,0,0,100,300,1,82,16,0,0,98,98,100,0,100
"12","eel","F/N","550","pump","rugvin 1 knip 2018-10-23",633.295454545455,438.943181818182,82,0,0,6,0,0,0,0,0,0,0,0,100,300,1,82,6,0,0,88,88,100,0,100
"13","eel","F/N","550","pump","staartvin 1 knip 2018-10-23",628.888888888889,425.716049382716,78,0,0,3,0,0,0,0,0,0,0,0,100,300,1,78,3,0,0,81,81,100,0,100
"14","roach","F/N","468","control","geen merkteken 2018-12-18",177.125,93.65625,36,0,0,12,0,0,0,0,0,0,0,0,50,100,1,36,12,0,0,48,48,100,0,100
"15","roach","F/N","468","control","staart onder + staart boven 2018-11-22",171.818181818182,84.0852272727273,34,0,1,11,1,2,0,0,0,1,0,0,50,100,1.5,34,10,3,0,47,47,100,6,94
"16","roach","F/N","468","pump","borstvin links + borstvin rechts (+ soms STAB) 2018-11-21",166.236363636364,75.9422727272727,36,1,1,36,4,3,0,0,4,2,0,3,100,400,1.29545454545455,36,30,11,3,77,77,100,29,71
"17","roach","F/N","468","pump","buikvin links + buikvin rechts 2018-11-22",169.313912429379,80.0419138418079,40,0,2,36,11,0,0,0,5,1,0,0,100,400,1.25,40,30,13,0,83,83,100,29,71
"18","roach","F/N","468","pump","staart boven 2018-12-18",177.133333333333,93.3241666666667,20,0,0,18,5,0,0,0,1,3,0,0,100,400,1.20833333333333,20,16,6,0,42,42,100,29,71
"19","roach","F/N","468","pump","staart onder 2018-11-21",165.008424908425,74.6795970695971,45,1,1,34,5,0,0,0,2,3,0,5,100,400,1.23809523809524,45,33,8,5,86,86,100,24,76
"20","roach","F/N","550","control","staart boven 2018-11-20",165.414634146341,74.0829268292683,37,0,1,3,0,0,0,0,0,0,0,0,50,50,1,37,4,0,0,41,41,100,0,100
"21","roach","F/N","550","pump","borstvin links 2018-11-20",167.754237288136,78.5456685499058,43,1,0,35,6,3,0,0,4,6,0,0,100,500,1.22222222222222,43,29,14,0,86,86,100,31,69
"22","roach","F/N","550","pump","borstvin rechts 2018-11-21",165.030769230769,73.5926923076923,42,0,1,21,6,5,0,0,5,3,0,8,100,500,1.475,42,17,13,8,72,72,100,28,72
"23","roach","F/N","550","pump","buikvin links 2018-11-21",166.145721925134,73.4901069518717,26,0,0,22,5,3,0,0,2,2,0,6,100,500,1.22727272727273,26,21,9,6,56,56,100,39,61
"24","roach","F/N","550","pump","buikvin rechts 2018-11-20",167.152356902357,76.3591750841751,44,0,4,28,11,6,0,0,9,10,0,4,100,500,1.43350168350168,44,20,23,4,87,87,100,38,62
"25","roach","F/N","550","pump","geen 2018-11-20",168.047974413646,78.5568585643213,44,5,0,31,7,2,0,0,4,2,0,3,100,500,1.20540156361052,44,32,12,3,88,88,100,24,76
